
{'out_of_rail_time': 0.35387956887919125, 'out_of_rail_velocity': 33.52288218909714, 'max_velocity': 302.2668752243214, 'apogee_time': 23.54429870061428, 'apogee_altitude': 3039.6459895512276, 'apogee_x': 112.3297333199187, 'apogee_y': -544.4373345525903, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5180710110847342, 'out_of_rail_static_margin': 1.5589859030016546, 'out_of_rail_stability_margin': 1.562018833623305, 'execution_time': 3.765625}

{'out_of_rail_time': 0.3539713223898184, 'out_of_rail_velocity': 33.50846175811739, 'max_velocity': 300.7679263024176, 'apogee_time': 23.25421844981108, 'apogee_altitude': 2976.0634362497344, 'apogee_x': 214.81120447807106, 'apogee_y': -508.4993581488436, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.539154990334621, 'out_of_rail_static_margin': 1.5804571457292609, 'out_of_rail_stability_margin': 1.5836077996416735, 'execution_time': 3.8125}

{'out_of_rail_time': 0.3532762856141872, 'out_of_rail_velocity': 33.59009956367375, 'max_velocity': 302.42556671625465, 'apogee_time': 23.450049480874842, 'apogee_altitude': 3021.6712570071545, 'apogee_x': 275.7959945351079, 'apogee_y': -495.18956812892856, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.4276403792291295, 'out_of_rail_static_margin': 1.4660336170431574, 'out_of_rail_stability_margin': 1.4690953614828837, 'execution_time': 4.078125}

{'out_of_rail_time': 0.35267059658878924, 'out_of_rail_velocity': 33.65922636560383, 'max_velocity': 302.7487206874118, 'apogee_time': 23.37850198597199, 'apogee_altitude': 3008.537820287827, 'apogee_x': 276.66588455243306, 'apogee_y': -543.6437702753063, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.4897860692632099, 'out_of_rail_static_margin': 1.5287542858629666, 'out_of_rail_stability_margin': 1.5318504333369827, 'execution_time': 3.796875}

{'out_of_rail_time': 0.35252363959246347, 'out_of_rail_velocity': 33.68426864686707, 'max_velocity': 304.2062178721848, 'apogee_time': 23.55804836332991, 'apogee_altitude': 3053.0621132561314, 'apogee_x': 160.90800179541517, 'apogee_y': -513.4074656835348, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.516276545180821, 'out_of_rail_static_margin': 1.5563799881959783, 'out_of_rail_stability_margin': 1.5594678218404125, 'execution_time': 4.125}

{'out_of_rail_time': 0.35206553581335975, 'out_of_rail_velocity': 33.73026320949942, 'max_velocity': 304.7062533932027, 'apogee_time': 23.53802002187521, 'apogee_altitude': 3050.4014899427852, 'apogee_x': 248.7975008565672, 'apogee_y': -520.2043621615231, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.4344687705777097, 'out_of_rail_static_margin': 1.4725578006743538, 'out_of_rail_stability_margin': 1.4756668462663587, 'execution_time': 4.015625}

{'out_of_rail_time': 0.3527044020526249, 'out_of_rail_velocity': 33.65519643971339, 'max_velocity': 303.8389176264764, 'apogee_time': 23.455553422185496, 'apogee_altitude': 3026.5344246294976, 'apogee_x': 475.2812649090198, 'apogee_y': -547.5383509576191, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5923495001565782, 'out_of_rail_static_margin': 1.634007732936634, 'out_of_rail_stability_margin': 1.6370494729965457, 'execution_time': 4.109375}

{'out_of_rail_time': 0.3536286305202377, 'out_of_rail_velocity': 33.55141540936687, 'max_velocity': 300.7322605572121, 'apogee_time': 23.14816157254152, 'apogee_altitude': 2953.530776109515, 'apogee_x': 310.5870731520594, 'apogee_y': -542.6034866564065, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.531071034352279, 'out_of_rail_static_margin': 1.5717319194027632, 'out_of_rail_stability_margin': 1.5749112706474089, 'execution_time': 4.25}

{'out_of_rail_time': 0.3536589404390352, 'out_of_rail_velocity': 33.55003845881124, 'max_velocity': 301.6579073861307, 'apogee_time': 23.22535526595785, 'apogee_altitude': 2972.7075466799793, 'apogee_x': 279.2995236238323, 'apogee_y': -563.3543636385292, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5353781897605243, 'out_of_rail_static_margin': 1.577126897912428, 'out_of_rail_stability_margin': 1.5802959848343332, 'execution_time': 4.453125}

{'out_of_rail_time': 0.3536923072824872, 'out_of_rail_velocity': 33.54514773915567, 'max_velocity': 301.98626963829514, 'apogee_time': 23.34305929961059, 'apogee_altitude': 2994.234001544158, 'apogee_x': 473.6513152357372, 'apogee_y': -566.3430307629603, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.543324943407246, 'out_of_rail_static_margin': 1.5845190387193724, 'out_of_rail_stability_margin': 1.5875782377617793, 'execution_time': 4.25}
Completed 1 iterations successfully. Total CPU time: 0.078125 s. Total wall time: 8.772043704986572 s
