
{'rocket_mass': 16.399834853942867, 'rocket_inertia_11': 0.8490258854601129, 'rocket_inertia_33': 0.016421554017119488, 'motor_dry_mass': 1.9108872253943436, 'motor_inertia_11': 0.03479310348880543, 'motor_inertia_33': 0.13628488468060718, 'motor_dry_mass_position': 0.5771670368610737, 'impulse': 9205.966793727399, 'motor_position': 2.522422761111165, 'burn_time': 2.7690029755830783, 'nozzle_radius': 0.023762836568079263, 'throat_radius': 0.008204883380361084, 'grain_separation': -0.00017696836960225468, 'grain_density': 486.329517940592, 'grain_outer_radius': 0.032606741981934084, 'grain_initial_inner_radius': 0.01083209971735833, 'grain_initial_height': 0.13007993048407648, 'radius': 0.07725907325739935, 'nozzle_position': -1.052974017397464, 'grains_center_of_mass_position': -3.0937825821808493, 'power_off_drag': 0.9687895461799764, 'power_on_drag': 0.9842570025182331, 'nose_distance_to_CM': 1.124113725325347, 'inclination': 89.62754153061454, 'heading': 92.58548294834067, 'cd_s_drogue': 0.25946427041619136, 'cd_s_light': 16.065249963381838, 'lag_rec': 0.17697132966767204, 'lag_se': 0.07090273588414996, 'temperature': 304.8864526093734, 'atmosphere_pressure': 85653.02136087358, 'rocket_CM': 1.9606259970281656, 'fin_position': 2.62}

{'rocket_mass': 16.39844620026369, 'rocket_inertia_11': 0.941028726841587, 'rocket_inertia_33': 0.016413957206998543, 'motor_dry_mass': 1.9113188846499876, 'motor_inertia_11': 0.003609306456451361, 'motor_inertia_33': 0.13627764810987494, 'motor_dry_mass_position': 0.5776909112391199, 'impulse': 9169.518691496041, 'motor_position': 2.515544181743764, 'burn_time': 2.662018737178329, 'nozzle_radius': 0.02330991427799256, 'throat_radius': 0.008279024893526065, 'grain_separation': 0.00045512581890414064, 'grain_density': 404.57761097669663, 'grain_outer_radius': 0.033127344688685716, 'grain_initial_inner_radius': 0.011362241923956934, 'grain_initial_height': 0.13295808359286398, 'radius': 0.07719369483008316, 'nozzle_position': -1.0544871184072333, 'grains_center_of_mass_position': -3.0938409161430873, 'power_off_drag': 0.9911686816314664, 'power_on_drag': 1.0561540045510083, 'nose_distance_to_CM': 1.1256059543352361, 'inclination': 88.20699010024762, 'heading': 89.04135256090954, 'cd_s_drogue': 0.2653815432984003, 'cd_s_light': 16.06928073015086, 'lag_rec': 0.12193063094774664, 'lag_se': 0.08376228759292334, 'temperature': 296.7954152308272, 'atmosphere_pressure': 85757.49580127948, 'rocket_CM': 1.938374975536481, 'fin_position': 2.62}

{'rocket_mass': 16.398857861272027, 'rocket_inertia_11': 0.8757158237181476, 'rocket_inertia_33': 0.01641064199653978, 'motor_dry_mass': 1.910930430819616, 'motor_inertia_11': 0.02832812346478184, 'motor_inertia_33': 0.13628524345019002, 'motor_dry_mass_position': 0.5771567839555833, 'impulse': 9249.127581419925, 'motor_position': 2.517234195247847, 'burn_time': 1.8361009444700789, 'nozzle_radius': 0.023934591177413585, 'throat_radius': 0.009237458216913184, 'grain_separation': 0.0004375643580728435, 'grain_density': 434.56084161141735, 'grain_outer_radius': 0.03297203034603544, 'grain_initial_inner_radius': 0.011662238124867275, 'grain_initial_height': 0.1313089402497314, 'radius': 0.07677828049773935, 'nozzle_position': -1.053553031716829, 'grains_center_of_mass_position': -3.0937743951878214, 'power_off_drag': 0.9058361430036378, 'power_on_drag': 0.9850790559311179, 'nose_distance_to_CM': 1.1255175091749083, 'inclination': 88.71484945824346, 'heading': 91.86528250381076, 'cd_s_drogue': 0.29041126941506407, 'cd_s_light': 16.07784212808149, 'lag_rec': 0.060560689423727804, 'lag_se': 0.05450437668023144, 'temperature': 300.6088140669429, 'atmosphere_pressure': 85378.7765142986, 'rocket_CM': 1.9292414607901498, 'fin_position': 2.62}

{'rocket_mass': 16.40115381290396, 'rocket_inertia_11': 0.9128885280819579, 'rocket_inertia_33': 0.016411321669150426, 'motor_dry_mass': 1.9095297713116834, 'motor_inertia_11': -0.039219740771726096, 'motor_inertia_33': 0.13626532714862244, 'motor_dry_mass_position': 0.575943752861769, 'impulse': 9161.95725657321, 'motor_position': 2.498491542638426, 'burn_time': 2.278442800200944, 'nozzle_radius': 0.022949144402145166, 'throat_radius': 0.008874956240598874, 'grain_separation': 0.002291395149818562, 'grain_density': 433.34042526877164, 'grain_outer_radius': 0.03259549460588969, 'grain_initial_inner_radius': 0.011332127833500873, 'grain_initial_height': 0.13107086694196324, 'radius': 0.07607643196499841, 'nozzle_position': -1.0535958846481224, 'grains_center_of_mass_position': -3.0938493716216557, 'power_off_drag': 1.0581196911471549, 'power_on_drag': 1.0506064432533266, 'nose_distance_to_CM': 1.1231006800523164, 'inclination': 88.60126225537475, 'heading': 93.05939560592682, 'cd_s_drogue': 0.27633919639608867, 'cd_s_light': 16.06504800467152, 'lag_rec': 0.07031084865865449, 'lag_se': 0.15290500551326236, 'temperature': 306.5483521176139, 'atmosphere_pressure': 85042.50524879944, 'rocket_CM': 1.9269532402102927, 'fin_position': 2.62}

{'rocket_mass': 16.399648272888168, 'rocket_inertia_11': 0.8790795943845059, 'rocket_inertia_33': 0.0164180729336263, 'motor_dry_mass': 1.910072565373064, 'motor_inertia_11': -0.017668284292498438, 'motor_inertia_33': 0.13627876060225233, 'motor_dry_mass_position': 0.5791232435657091, 'impulse': 9215.371855488616, 'motor_position': 2.5029068375523993, 'burn_time': 2.713221645243069, 'nozzle_radius': 0.024148946555244948, 'throat_radius': 0.008363067075319537, 'grain_separation': 0.0002167031807925117, 'grain_density': 479.0526609931385, 'grain_outer_radius': 0.03285959209893097, 'grain_initial_inner_radius': 0.011664782553089375, 'grain_initial_height': 0.1305199053260835, 'radius': 0.07862321356949119, 'nozzle_position': -1.0548755703238826, 'grains_center_of_mass_position': -3.093693874366094, 'power_off_drag': 1.0267991929070512, 'power_on_drag': 0.9462331425093777, 'nose_distance_to_CM': 1.1247778849348118, 'inclination': 86.05731317047403, 'heading': 90.25033862474524, 'cd_s_drogue': 0.2802240529086605, 'cd_s_light': 16.066450133682633, 'lag_rec': 0.27476912629558997, 'lag_se': 0.050408151674976004, 'temperature': 303.5589642088241, 'atmosphere_pressure': 86201.47040607338, 'rocket_CM': 1.9286022501024171, 'fin_position': 2.62}

{'rocket_mass': 16.39953749248076, 'rocket_inertia_11': 0.8634982826051156, 'rocket_inertia_33': 0.016422003328838117, 'motor_dry_mass': 1.910141632836634, 'motor_inertia_11': -0.005328554989244987, 'motor_inertia_33': 0.13626566500460194, 'motor_dry_mass_position': 0.5774506440068166, 'impulse': 9203.163264353692, 'motor_position': 2.5208717334053854, 'burn_time': 2.6881927509911927, 'nozzle_radius': 0.02389933086259908, 'throat_radius': 0.00915230205771729, 'grain_separation': 0.0004939855351281942, 'grain_density': 440.1427278520088, 'grain_outer_radius': 0.0331936211127885, 'grain_initial_inner_radius': 0.010991302407533262, 'grain_initial_height': 0.1323000263785753, 'radius': 0.07629290291796757, 'nozzle_position': -1.0530479808173212, 'grains_center_of_mass_position': -3.0937595408840965, 'power_off_drag': 0.9532836404216611, 'power_on_drag': 0.9766321141898407, 'nose_distance_to_CM': 1.1243869429466486, 'inclination': 88.29908540607646, 'heading': 89.91014301528682, 'cd_s_drogue': 0.27486777532834106, 'cd_s_light': 16.057004960530858, 'lag_rec': 0.30973323199866, 'lag_se': 0.021605710521392818, 'temperature': 304.2913980765648, 'atmosphere_pressure': 85372.51788411639, 'rocket_CM': 1.9470566113302386, 'fin_position': 2.62}
