
{'out_of_rail_time': 0.3528532686334774, 'out_of_rail_velocity': 33.63945265875807, 'max_velocity': 304.0102232033883, 'apogee_time': 23.439942485795587, 'apogee_altitude': 3026.421556128212, 'apogee_x': 459.11881634694885, 'apogee_y': -458.45294747509655, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5016555858099732, 'out_of_rail_static_margin': 1.542170264434689, 'out_of_rail_stability_margin': 1.5452125909404795, 'execution_time': 3.8125}

{'out_of_rail_time': 0.35385556940555435, 'out_of_rail_velocity': 33.527156646680716, 'max_velocity': 301.4612948281336, 'apogee_time': 23.40748035750777, 'apogee_altitude': 3010.1945239217434, 'apogee_x': 221.66413396646035, 'apogee_y': -460.428370956432, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.515459121662912, 'out_of_rail_static_margin': 1.5559919705559782, 'out_of_rail_stability_margin': 1.5590476567014646, 'execution_time': 4.25}

{'out_of_rail_time': 0.35424113532359, 'out_of_rail_velocity': 33.477502285691166, 'max_velocity': 300.56280513097914, 'apogee_time': 23.274743716719566, 'apogee_altitude': 2979.9872694425962, 'apogee_x': 226.32293179932466, 'apogee_y': -453.894827381086, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5237289545567194, 'out_of_rail_static_margin': 1.5648552391614134, 'out_of_rail_stability_margin': 1.5679652430005746, 'execution_time': 4.265625}

{'out_of_rail_time': 0.35343480772512614, 'out_of_rail_velocity': 33.57690498763429, 'max_velocity': 302.2778818197657, 'apogee_time': 23.436057466814184, 'apogee_altitude': 3019.3335414580165, 'apogee_x': 270.9638078311857, 'apogee_y': -500.0557505587379, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5629825221728242, 'out_of_rail_static_margin': 1.6041640619567479, 'out_of_rail_stability_margin': 1.6072067596715687, 'execution_time': 3.9375}

{'out_of_rail_time': 0.35322037571228204, 'out_of_rail_velocity': 33.598443849401896, 'max_velocity': 301.9861492531121, 'apogee_time': 23.256730469161425, 'apogee_altitude': 2981.354356042048, 'apogee_x': 398.8111883669087, 'apogee_y': -438.9461551424715, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.480369994101648, 'out_of_rail_static_margin': 1.5201453778412715, 'out_of_rail_stability_margin': 1.5232779436802977, 'execution_time': 4.140625}

{'out_of_rail_time': 0.35441536751685043, 'out_of_rail_velocity': 33.46536997192984, 'max_velocity': 300.5853465032056, 'apogee_time': 23.15265155727007, 'apogee_altitude': 2952.1662978528097, 'apogee_x': 486.1581558149726, 'apogee_y': -504.9906429845714, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.6101955493829383, 'out_of_rail_static_margin': 1.653757933460722, 'out_of_rail_stability_margin': 1.6568653916579168, 'execution_time': 4.046875}

{'out_of_rail_time': 0.3536250969188009, 'out_of_rail_velocity': 33.54504863188793, 'max_velocity': 300.3642420426591, 'apogee_time': 23.02258342189668, 'apogee_altitude': 2929.144859852027, 'apogee_x': 375.3513987988669, 'apogee_y': -453.9987036256253, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5672782310879512, 'out_of_rail_static_margin': 1.6088233353495678, 'out_of_rail_stability_margin': 1.612038785601486, 'execution_time': 4.015625}

{'out_of_rail_time': 0.35303928632499865, 'out_of_rail_velocity': 33.628600580716224, 'max_velocity': 303.27849519479395, 'apogee_time': 23.426524018390754, 'apogee_altitude': 3021.857248079334, 'apogee_x': 307.4171053160242, 'apogee_y': -481.61787596017746, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.4969200132527571, 'out_of_rail_static_margin': 1.537393022495044, 'out_of_rail_stability_margin': 1.5404941373399756, 'execution_time': 4.0625}

{'out_of_rail_time': 0.3529876059808367, 'out_of_rail_velocity': 33.6277360259459, 'max_velocity': 302.02052971549074, 'apogee_time': 23.130408500885224, 'apogee_altitude': 2957.7556240256795, 'apogee_x': 320.19771348252084, 'apogee_y': -479.06614600544424, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.4788389658405028, 'out_of_rail_static_margin': 1.5187363039148363, 'out_of_rail_stability_margin': 1.5219454927238225, 'execution_time': 4.109375}

{'out_of_rail_time': 0.35271082331257275, 'out_of_rail_velocity': 33.653634734892975, 'max_velocity': 302.95851040832224, 'apogee_time': 23.33963828184036, 'apogee_altitude': 3003.5040004165644, 'apogee_x': 279.3014190414496, 'apogee_y': -511.5270976252631, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5433076357718036, 'out_of_rail_static_margin': 1.583763786713436, 'out_of_rail_stability_margin': 1.5869150259108766, 'execution_time': 4.1875}
Completed 1 iterations successfully. Total CPU time: 0.015625 s. Total wall time: 8.148453712463379 s
