
{'out_of_rail_time': 0.35306297486778615, 'out_of_rail_velocity': 33.62321474874556, 'max_velocity': 302.6646833711214, 'apogee_time': 23.241295521919625, 'apogee_altitude': 2979.6171557114835, 'apogee_x': 484.93382270208605, 'apogee_y': -504.836819413693, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5296326464327197, 'out_of_rail_static_margin': 1.5704516274650842, 'out_of_rail_stability_margin': 1.5735636027552824, 'execution_time': 4.0}

{'out_of_rail_time': 0.35456798662058475, 'out_of_rail_velocity': 33.44406667365004, 'max_velocity': 300.31205047011053, 'apogee_time': 23.176483079476196, 'apogee_altitude': 2954.6381320726437, 'apogee_x': 435.6435745575845, 'apogee_y': -517.7711029678603, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.4605073647659463, 'out_of_rail_static_margin': 1.5011634300220629, 'out_of_rail_stability_margin': 1.504253565695626, 'execution_time': 4.0625}

{'out_of_rail_time': 0.3534568209740307, 'out_of_rail_velocity': 33.566060325704264, 'max_velocity': 301.40369926083616, 'apogee_time': 23.06349251086479, 'apogee_altitude': 2939.077692955451, 'apogee_x': 447.0333171244896, 'apogee_y': -523.6077606911276, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5035062704094637, 'out_of_rail_static_margin': 1.5441779547112295, 'out_of_rail_stability_margin': 1.5473791223126714, 'execution_time': 4.265625}

{'out_of_rail_time': 0.3528844222549393, 'out_of_rail_velocity': 33.63942855104534, 'max_velocity': 303.1294238256349, 'apogee_time': 23.262952247419648, 'apogee_altitude': 2984.814418099518, 'apogee_x': 520.8713675037329, 'apogee_y': -533.8414100966522, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.490460607763125, 'out_of_rail_static_margin': 1.5303539072109855, 'out_of_rail_stability_margin': 1.533450357113402, 'execution_time': 4.328125}

{'out_of_rail_time': 0.35319155491441856, 'out_of_rail_velocity': 33.60266192619457, 'max_velocity': 302.46899016425283, 'apogee_time': 23.3087163811789, 'apogee_altitude': 2994.6176618735967, 'apogee_x': 211.6596502509722, 'apogee_y': -525.7038906145356, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.4616004933283644, 'out_of_rail_static_margin': 1.5013024667577217, 'out_of_rail_stability_margin': 1.5044522899997725, 'execution_time': 4.328125}

{'out_of_rail_time': 0.35251587688977953, 'out_of_rail_velocity': 33.67851011898371, 'max_velocity': 303.005949074666, 'apogee_time': 23.20866034842458, 'apogee_altitude': 2974.983448658975, 'apogee_x': 483.9479077045192, 'apogee_y': -509.29778303481254, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.4800297904080963, 'out_of_rail_static_margin': 1.5190788928234347, 'out_of_rail_stability_margin': 1.5222444488092295, 'execution_time': 4.25}

{'out_of_rail_time': 0.3535402880205887, 'out_of_rail_velocity': 33.56894924827421, 'max_velocity': 302.01051163282483, 'apogee_time': 23.383472313833263, 'apogee_altitude': 3005.521235963031, 'apogee_x': 357.37158954979077, 'apogee_y': -513.178584723312, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.4821740946326447, 'out_of_rail_static_margin': 1.5218028311822396, 'out_of_rail_stability_margin': 1.5248612431243747, 'execution_time': 4.375}

{'out_of_rail_time': 0.35355179952781074, 'out_of_rail_velocity': 33.56924156868067, 'max_velocity': 301.8644375309262, 'apogee_time': 23.252458328879033, 'apogee_altitude': 2980.2836457420403, 'apogee_x': 332.5911619191885, 'apogee_y': -488.6487500264176, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5110327323135606, 'out_of_rail_static_margin': 1.552100815505802, 'out_of_rail_stability_margin': 1.5552391513653636, 'execution_time': 4.4375}

{'out_of_rail_time': 0.3532404971188045, 'out_of_rail_velocity': 33.595086629238054, 'max_velocity': 302.27763736236756, 'apogee_time': 23.454235803082582, 'apogee_altitude': 3020.9785930671947, 'apogee_x': 308.5067403636926, 'apogee_y': -513.8413429688752, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.4101516116159012, 'out_of_rail_static_margin': 1.4476794356073102, 'out_of_rail_stability_margin': 1.4507359252388343, 'execution_time': 4.53125}

{'out_of_rail_time': 0.3537218082576718, 'out_of_rail_velocity': 33.542462076061376, 'max_velocity': 300.96860188644416, 'apogee_time': 23.15615195710316, 'apogee_altitude': 2957.1792300827324, 'apogee_x': 254.22846413736045, 'apogee_y': -530.6337863675262, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.470633867534834, 'out_of_rail_static_margin': 1.5104665541868092, 'out_of_rail_stability_margin': 1.5136874887153757, 'execution_time': 4.53125}
Completed 1 iterations successfully. Total CPU time: 0.078125 s. Total wall time: 8.260118007659912 s
