
{'out_of_rail_time': 0.3528377899123667, 'out_of_rail_velocity': 33.64318445623774, 'max_velocity': 302.5847141260846, 'apogee_time': 23.46623089403674, 'apogee_altitude': 3029.3787554016503, 'apogee_x': 162.33826038078723, 'apogee_y': -410.47117648020003, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5667797844478166, 'out_of_rail_static_margin': 1.6072475511213575, 'out_of_rail_stability_margin': 1.6103035231131189, 'execution_time': 3.984375}

{'out_of_rail_time': 0.35387007379915536, 'out_of_rail_velocity': 33.52346277896013, 'max_velocity': 301.7469300075161, 'apogee_time': 23.342080382978313, 'apogee_altitude': 2996.6383464942414, 'apogee_x': 417.3890189140072, 'apogee_y': -436.3111669020768, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.4932900686854105, 'out_of_rail_static_margin': 1.5339120759998528, 'out_of_rail_stability_margin': 1.5369346034801645, 'execution_time': 4.09375}

{'out_of_rail_time': 0.3535173668052129, 'out_of_rail_velocity': 33.56732527020297, 'max_velocity': 302.6509032049688, 'apogee_time': 23.424469399099074, 'apogee_altitude': 3019.0917302483144, 'apogee_x': 344.0044569523663, 'apogee_y': -415.924776071166, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.4825510447983354, 'out_of_rail_static_margin': 1.5227922152586988, 'out_of_rail_stability_margin': 1.5258329207096009, 'execution_time': 4.21875}

{'out_of_rail_time': 0.3524596318479326, 'out_of_rail_velocity': 33.68196126373915, 'max_velocity': 304.47227300627156, 'apogee_time': 23.529143681590984, 'apogee_altitude': 3049.2066217521447, 'apogee_x': 355.82721437933935, 'apogee_y': -410.6426195407822, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5300483911943905, 'out_of_rail_static_margin': 1.5706139612129646, 'out_of_rail_stability_margin': 1.5736487274382693, 'execution_time': 4.125}

{'out_of_rail_time': 0.3537237160034603, 'out_of_rail_velocity': 33.54041656184436, 'max_velocity': 301.8130852703423, 'apogee_time': 23.321278463984807, 'apogee_altitude': 2994.9226513658327, 'apogee_x': 363.5644494824092, 'apogee_y': -399.80252734388625, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.517574293160626, 'out_of_rail_static_margin': 1.558629329183073, 'out_of_rail_stability_margin': 1.5616941663518347, 'execution_time': 4.1875}

{'out_of_rail_time': 0.35343040237072665, 'out_of_rail_velocity': 33.57375429045156, 'max_velocity': 301.7621650678239, 'apogee_time': 23.330052168149905, 'apogee_altitude': 2997.472939620898, 'apogee_x': 295.8259688432048, 'apogee_y': -416.1189712178792, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5649418473605048, 'out_of_rail_static_margin': 1.6060313898011116, 'out_of_rail_stability_margin': 1.60911398594761, 'execution_time': 4.3125}

{'out_of_rail_time': 0.3523732525351594, 'out_of_rail_velocity': 33.6958598457527, 'max_velocity': 304.4998358203003, 'apogee_time': 23.556135203272763, 'apogee_altitude': 3055.85018976915, 'apogee_x': 264.644709878294, 'apogee_y': -406.50141688909747, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5257784484309245, 'out_of_rail_static_margin': 1.56609584609298, 'out_of_rail_stability_margin': 1.569145001022017, 'execution_time': 4.46875}

{'out_of_rail_time': 0.35301350497688433, 'out_of_rail_velocity': 33.61639130875297, 'max_velocity': 302.459893631635, 'apogee_time': 23.38453373325944, 'apogee_altitude': 3013.0607444442726, 'apogee_x': 191.7690285800787, 'apogee_y': -405.97064045789784, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.6304039619768873, 'out_of_rail_static_margin': 1.6728426701689223, 'out_of_rail_stability_margin': 1.6759480640463584, 'execution_time': 4.421875}

{'out_of_rail_time': 0.352934732931075, 'out_of_rail_velocity': 33.63599726675086, 'max_velocity': 303.07033848331906, 'apogee_time': 23.38196462845376, 'apogee_altitude': 3014.0851675155604, 'apogee_x': 275.6356879771295, 'apogee_y': -426.0448153396702, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.4636938767241119, 'out_of_rail_static_margin': 1.50314327148186, 'out_of_rail_stability_margin': 1.5062180562581928, 'execution_time': 4.375}

{'out_of_rail_time': 0.3535498006250773, 'out_of_rail_velocity': 33.56489468249206, 'max_velocity': 302.7787896005464, 'apogee_time': 23.46634497194387, 'apogee_altitude': 3028.443053391334, 'apogee_x': 306.36426876731934, 'apogee_y': -420.2976930135848, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5278829994915009, 'out_of_rail_static_margin': 1.569362604682786, 'out_of_rail_stability_margin': 1.5723722743106971, 'execution_time': 4.40625}
Completed 1 iterations successfully. Total CPU time: 0.0625 s. Total wall time: 8.565942287445068 s
