
{'out_of_rail_time': 0.35347462750001274, 'out_of_rail_velocity': 33.569917369096885, 'max_velocity': 301.98042388330947, 'apogee_time': 23.410973243855242, 'apogee_altitude': 3012.104449313782, 'apogee_x': 282.9235795360487, 'apogee_y': -512.2502767132047, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5903115243895123, 'out_of_rail_static_margin': 1.6320170717924478, 'out_of_rail_stability_margin': 1.6351073933570919, 'execution_time': 3.984375}

{'out_of_rail_time': 0.3533813512692577, 'out_of_rail_velocity': 33.58021571299719, 'max_velocity': 302.91880866187256, 'apogee_time': 23.575627075324245, 'apogee_altitude': 3046.7641137102105, 'apogee_x': 356.12166660505693, 'apogee_y': -531.5115983591714, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5021231131897772, 'out_of_rail_static_margin': 1.5420291034580784, 'out_of_rail_stability_margin': 1.5450137387486227, 'execution_time': 4.328125}

{'out_of_rail_time': 0.3525233932366392, 'out_of_rail_velocity': 33.67289647752699, 'max_velocity': 303.6562610860831, 'apogee_time': 23.36834544251257, 'apogee_altitude': 3010.900044528937, 'apogee_x': 416.6054116163573, 'apogee_y': -491.7612658036298, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5384933158964416, 'out_of_rail_static_margin': 1.5790631024933823, 'out_of_rail_stability_margin': 1.582156551004628, 'execution_time': 4.359375}

{'out_of_rail_time': 0.35404464896100446, 'out_of_rail_velocity': 33.49721110265443, 'max_velocity': 300.81529700478626, 'apogee_time': 23.385378670919426, 'apogee_altitude': 3000.6096290194287, 'apogee_x': 277.8412886277151, 'apogee_y': -525.5314332756559, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5487882064142837, 'out_of_rail_static_margin': 1.5896409662336541, 'out_of_rail_stability_margin': 1.5927195577103885, 'execution_time': 4.21875}

{'out_of_rail_time': 0.35230834904732444, 'out_of_rail_velocity': 33.700885525863, 'max_velocity': 304.4368873026707, 'apogee_time': 23.41733016366624, 'apogee_altitude': 3023.2019450311323, 'apogee_x': 442.1728283094519, 'apogee_y': -539.8520775511283, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5571030854054124, 'out_of_rail_static_margin': 1.598093427488609, 'out_of_rail_stability_margin': 1.6011708223262577, 'execution_time': 4.421875}

{'out_of_rail_time': 0.3530807264619293, 'out_of_rail_velocity': 33.61427326465393, 'max_velocity': 302.4031335785411, 'apogee_time': 23.30304081184252, 'apogee_altitude': 2995.0575111702187, 'apogee_x': 76.26443617723703, 'apogee_y': -518.2110480576669, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5564816540196216, 'out_of_rail_static_margin': 1.5978731080257838, 'out_of_rail_stability_margin': 1.6010644994182115, 'execution_time': 4.484375}

{'out_of_rail_time': 0.35275374574505663, 'out_of_rail_velocity': 33.647712391736015, 'max_velocity': 302.67417840053554, 'apogee_time': 23.35898833500983, 'apogee_altitude': 3004.731124560914, 'apogee_x': 351.235907863152, 'apogee_y': -508.8768806658718, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5254195636449006, 'out_of_rail_static_margin': 1.565036735904697, 'out_of_rail_stability_margin': 1.5681516996736151, 'execution_time': 4.5625}

{'out_of_rail_time': 0.3539213238926171, 'out_of_rail_velocity': 33.52059045783684, 'max_velocity': 302.4643954304962, 'apogee_time': 23.577602526807826, 'apogee_altitude': 3045.9121484478205, 'apogee_x': 224.10920361936283, 'apogee_y': -541.9110653588846, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.4702483567862197, 'out_of_rail_static_margin': 1.5105113895481048, 'out_of_rail_stability_margin': 1.5135012898491063, 'execution_time': 4.59375}

{'out_of_rail_time': 0.35263721935385917, 'out_of_rail_velocity': 33.66772562337117, 'max_velocity': 302.5454021119046, 'apogee_time': 23.271506355284547, 'apogee_altitude': 2986.6424576645245, 'apogee_x': 277.85170413555903, 'apogee_y': -551.6947831177205, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5065631746335473, 'out_of_rail_static_margin': 1.5462023940503482, 'out_of_rail_stability_margin': 1.549374186480729, 'execution_time': 4.71875}

{'out_of_rail_time': 0.3526928239777351, 'out_of_rail_velocity': 33.65492904478612, 'max_velocity': 303.37430082997196, 'apogee_time': 23.44025724891188, 'apogee_altitude': 3023.9128527381613, 'apogee_x': 275.5256649781499, 'apogee_y': -532.471478787881, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.4105375172195544, 'out_of_rail_static_margin': 1.4482661255284057, 'out_of_rail_stability_margin': 1.45137221085862, 'execution_time': 4.671875}
Completed 1 iterations successfully. Total CPU time: 0.03125 s. Total wall time: 8.281378269195557 s
