
{'rocket_mass': 16.399991094751844, 'rocket_inertia_11': 0.864450818729202, 'rocket_inertia_33': 0.0164193338806771, 'motor_dry_mass': 1.9108310649976177, 'motor_inertia_11': 0.0015223931273667774, 'motor_inertia_33': 0.13626467471552842, 'motor_dry_mass_position': 0.44404584964105465, 'impulse': 6056.675620841898, 'motor_position': 2.353755472474243, 'burn_time': 2.0149516821562186, 'nozzle_radius': 0.023897271772892085, 'throat_radius': 0.009757102448132424, 'grain_separation': -0.0005341311563227011, 'grain_density': 452.8306774347597, 'grain_outer_radius': 0.032681180841561915, 'grain_initial_inner_radius': 0.01120698482646615, 'grain_initial_height': 0.13136441452723155, 'radius': 0.07763014997786649, 'nozzle_position': -0.9201976400612644, 'grains_center_of_mass_position': -2.8133149632628576, 'power_off_drag': 1.035693717329031, 'power_on_drag': 0.9895454247874527, 'nose_distance_to_CM': 1.1101880191128797, 'inclination': 89.51568996078906, 'heading': 91.50176752519472, 'cd_s_drogue': 0.3164512377240589, 'cd_s_light': 16.07217576868757, 'lag_rec': 0.23456198962958028, 'lag_se': 0.07376521118327069, 'temperature': 303.511691493733, 'atmosphere_pressure': 86025.78135248995, 'rocket_CM': 1.927917732382915, 'fin_position': 2.57}

{'rocket_mass': 16.40074934687455, 'rocket_inertia_11': 0.9229537527180859, 'rocket_inertia_33': 0.016416656191661733, 'motor_dry_mass': 1.9102940257079981, 'motor_inertia_11': 0.019612126733098447, 'motor_inertia_33': 0.1362860769251397, 'motor_dry_mass_position': 0.4420975912615214, 'impulse': 6063.028683597083, 'motor_position': 2.3702000584995453, 'burn_time': 2.6405059493234506, 'nozzle_radius': 0.023759036853653694, 'throat_radius': 0.008475989740286481, 'grain_separation': -0.000102182267544017, 'grain_density': 449.70077070860447, 'grain_outer_radius': 0.032931764706264625, 'grain_initial_inner_radius': 0.011181292929392832, 'grain_initial_height': 0.1322602383620055, 'radius': 0.07823643122639194, 'nozzle_position': -0.9217910479533322, 'grains_center_of_mass_position': -2.813359921628899, 'power_off_drag': 0.9670982753709183, 'power_on_drag': 1.0225179382978844, 'nose_distance_to_CM': 1.1090852520314338, 'inclination': 89.5564581460793, 'heading': 91.97397418000095, 'cd_s_drogue': 0.3056595250931448, 'cd_s_light': 16.045455210671854, 'lag_rec': 0.13987507122968854, 'lag_se': 0.056190277764313734, 'temperature': 299.2376712529331, 'atmosphere_pressure': 85485.6968275866, 'rocket_CM': 1.923519510162759, 'fin_position': 2.57}

{'rocket_mass': 16.39797234382558, 'rocket_inertia_11': 0.9256370758000412, 'rocket_inertia_33': 0.016400696407418897, 'motor_dry_mass': 1.9122268253297199, 'motor_inertia_11': -0.012578480680253471, 'motor_inertia_33': 0.13627223875939617, 'motor_dry_mass_position': 0.4453459573273801, 'impulse': 6073.689595226513, 'motor_position': 2.3533515543371033, 'burn_time': 2.974592351051337, 'nozzle_radius': 0.023414459373281456, 'throat_radius': 0.008094724976388853, 'grain_separation': 1.8995492812058793e-06, 'grain_density': 445.7847292853354, 'grain_outer_radius': 0.03269802954720842, 'grain_initial_inner_radius': 0.010410568160127144, 'grain_initial_height': 0.1308590000589949, 'radius': 0.07816955328873976, 'nozzle_position': -0.9215524554983109, 'grains_center_of_mass_position': -2.81306631124431, 'power_off_drag': 1.0128524211362047, 'power_on_drag': 0.9424543944596899, 'nose_distance_to_CM': 1.1091842452371081, 'inclination': 87.27061718300922, 'heading': 90.83983580589302, 'cd_s_drogue': 0.28835202606022814, 'cd_s_light': 16.069808190688033, 'lag_rec': 0.08290808881622476, 'lag_se': 0.07925371295530668, 'temperature': 301.9922709158858, 'atmosphere_pressure': 85971.92548962566, 'rocket_CM': 1.9271325264436638, 'fin_position': 2.57}

{'rocket_mass': 16.40006903161968, 'rocket_inertia_11': 0.901647341018219, 'rocket_inertia_33': 0.016412136883336072, 'motor_dry_mass': 1.9093510634951505, 'motor_inertia_11': -0.0015309182503182742, 'motor_inertia_33': 0.13627738677058118, 'motor_dry_mass_position': 0.4454492592463588, 'impulse': 6092.869470081663, 'motor_position': 2.373915605306601, 'burn_time': 2.0751556202441805, 'nozzle_radius': 0.02412126942073942, 'throat_radius': 0.008326623097668023, 'grain_separation': -2.7403056581171346e-05, 'grain_density': 413.567347676548, 'grain_outer_radius': 0.032855027515950846, 'grain_initial_inner_radius': 0.011198021411549066, 'grain_initial_height': 0.13170583856375806, 'radius': 0.07905094979246177, 'nozzle_position': -0.9209807265870362, 'grains_center_of_mass_position': -2.8131442245036653, 'power_off_drag': 1.001516946340064, 'power_on_drag': 1.0530682776749287, 'nose_distance_to_CM': 1.1076122095932373, 'inclination': 88.72959770733124, 'heading': 88.59346558066048, 'cd_s_drogue': 0.2790063302978448, 'cd_s_light': 16.076790531491678, 'lag_rec': 0.27879686151939603, 'lag_se': 0.1810979411595, 'temperature': 306.5268963654458, 'atmosphere_pressure': 85795.08779285452, 'rocket_CM': 1.9218309466754686, 'fin_position': 2.57}

{'rocket_mass': 16.400120238085595, 'rocket_inertia_11': 0.8511858878292414, 'rocket_inertia_33': 0.01642703461448373, 'motor_dry_mass': 1.9115123453095137, 'motor_inertia_11': -0.004058400383975147, 'motor_inertia_33': 0.13626695180530055, 'motor_dry_mass_position': 0.4456502516493014, 'impulse': 6111.39734866351, 'motor_position': 2.3865525092801425, 'burn_time': 2.86673278149737, 'nozzle_radius': 0.023553840914430836, 'throat_radius': 0.00873781527938718, 'grain_separation': 0.0014764313117216201, 'grain_density': 440.348219364038, 'grain_outer_radius': 0.032417664748925816, 'grain_initial_inner_radius': 0.011607291821931912, 'grain_initial_height': 0.1306944096915013, 'radius': 0.07682744735380603, 'nozzle_position': -0.9204868762412409, 'grains_center_of_mass_position': -2.813239264216897, 'power_off_drag': 0.9915929888506827, 'power_on_drag': 0.9718171742361637, 'nose_distance_to_CM': 1.1098342576087432, 'inclination': 87.87721566436583, 'heading': 90.42352825888227, 'cd_s_drogue': 0.2660797685058861, 'cd_s_light': 16.07684211312566, 'lag_rec': 0.16819054727609922, 'lag_se': 0.23758100179406788, 'temperature': 304.0846039573058, 'atmosphere_pressure': 85557.35169187859, 'rocket_CM': 1.919392419759636, 'fin_position': 2.57}

{'rocket_mass': 16.40032054798603, 'rocket_inertia_11': 0.8811872763281707, 'rocket_inertia_33': 0.016420384984666334, 'motor_dry_mass': 1.9102872799806614, 'motor_inertia_11': 0.006508700877653513, 'motor_inertia_33': 0.1362762739741456, 'motor_dry_mass_position': 0.44556814838315995, 'impulse': 6121.619590782098, 'motor_position': 2.3497010951004635, 'burn_time': 2.1847566413271546, 'nozzle_radius': 0.023623793462186717, 'throat_radius': 0.007911023349813775, 'grain_separation': 0.00036390806344785474, 'grain_density': 391.07558827214393, 'grain_outer_radius': 0.032830023731898854, 'grain_initial_inner_radius': 0.010781509625494292, 'grain_initial_height': 0.13280165582572878, 'radius': 0.079329567141135, 'nozzle_position': -0.9209986147680052, 'grains_center_of_mass_position': -2.8133467563713968, 'power_off_drag': 1.0444319196672824, 'power_on_drag': 0.9334502106311845, 'nose_distance_to_CM': 1.1096639560591244, 'inclination': 88.24071729886761, 'heading': 88.43331646712957, 'cd_s_drogue': 0.29390584838019973, 'cd_s_light': 16.096485429442478, 'lag_rec': 0.20321570220291696, 'lag_se': 0.05083174548124253, 'temperature': 293.1186200333466, 'atmosphere_pressure': 85968.33250905915, 'rocket_CM': 1.931137564096608, 'fin_position': 2.57}
