
{'out_of_rail_time': 0.35432634442498534, 'out_of_rail_velocity': 33.47888807259649, 'max_velocity': 301.29975194499013, 'apogee_time': 23.337880718463197, 'apogee_altitude': 2991.705490364569, 'apogee_x': 347.8017989841982, 'apogee_y': -570.1286889977903, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5172752804391296, 'out_of_rail_static_margin': 1.558881139863707, 'out_of_rail_stability_margin': 1.5619612773820553, 'execution_time': 3.828125}

{'out_of_rail_time': 0.35342546985883294, 'out_of_rail_velocity': 33.57194275066041, 'max_velocity': 302.0586491641112, 'apogee_time': 23.312049538852058, 'apogee_altitude': 2992.451139419219, 'apogee_x': 252.167190889564, 'apogee_y': -562.2210787227403, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.526711266495812, 'out_of_rail_static_margin': 1.5674168894227942, 'out_of_rail_stability_margin': 1.5705552397821887, 'execution_time': 3.75}

{'out_of_rail_time': 0.35382302816489397, 'out_of_rail_velocity': 33.52982948457978, 'max_velocity': 302.05886895297317, 'apogee_time': 23.303159686449817, 'apogee_altitude': 2986.5247646789753, 'apogee_x': 447.83281416752817, 'apogee_y': -602.6072877082056, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5381797290822914, 'out_of_rail_static_margin': 1.579873062467478, 'out_of_rail_stability_margin': 1.5829544349165894, 'execution_time': 3.75}

{'out_of_rail_time': 0.3549671477057831, 'out_of_rail_velocity': 33.397379640490584, 'max_velocity': 299.8237140726517, 'apogee_time': 23.26230328508895, 'apogee_altitude': 2969.346318389916, 'apogee_x': 325.07973031878544, 'apogee_y': -550.8422021031265, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.4938279909236274, 'out_of_rail_static_margin': 1.5352259796130718, 'out_of_rail_stability_margin': 1.5383362549083668, 'execution_time': 3.984375}

{'out_of_rail_time': 0.35274551886010724, 'out_of_rail_velocity': 33.646452322714865, 'max_velocity': 302.5991830504929, 'apogee_time': 23.28032550068685, 'apogee_altitude': 2988.365289100789, 'apogee_x': 354.83071922789725, 'apogee_y': -560.3997717155111, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5626500592664865, 'out_of_rail_static_margin': 1.6032416101183922, 'out_of_rail_stability_margin': 1.6063899594634365, 'execution_time': 4.0}

{'out_of_rail_time': 0.35342299935318905, 'out_of_rail_velocity': 33.57697359482823, 'max_velocity': 301.92543857334243, 'apogee_time': 23.288707176780996, 'apogee_altitude': 2986.7626026281664, 'apogee_x': 304.35181119520166, 'apogee_y': -538.3717010211227, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.491345167070558, 'out_of_rail_static_margin': 1.5314874688823115, 'out_of_rail_stability_margin': 1.5346435570326153, 'execution_time': 3.984375}

{'out_of_rail_time': 0.35271095606100167, 'out_of_rail_velocity': 33.6586231021142, 'max_velocity': 303.71105930093466, 'apogee_time': 23.395397604747874, 'apogee_altitude': 3016.107624236552, 'apogee_x': 384.73631928516767, 'apogee_y': -554.3215113847133, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5914801435325758, 'out_of_rail_static_margin': 1.6333532246140807, 'out_of_rail_stability_margin': 1.6364563089903144, 'execution_time': 3.953125}

{'out_of_rail_time': 0.3534036497552086, 'out_of_rail_velocity': 33.57677083993476, 'max_velocity': 302.2469405348917, 'apogee_time': 23.325252837268838, 'apogee_altitude': 2995.919156924109, 'apogee_x': 139.8030596691333, 'apogee_y': -581.8957333394075, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.522561340480361, 'out_of_rail_static_margin': 1.5637245573062244, 'out_of_rail_stability_margin': 1.5669074614998701, 'execution_time': 4.21875}

{'out_of_rail_time': 0.35425430954125114, 'out_of_rail_velocity': 33.481729136379755, 'max_velocity': 300.93531700452706, 'apogee_time': 23.210841132691826, 'apogee_altitude': 2966.303905710954, 'apogee_x': 299.1448277185719, 'apogee_y': -561.3117587362766, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.5345900346286871, 'out_of_rail_static_margin': 1.5766365061253278, 'out_of_rail_stability_margin': 1.5797941347843263, 'execution_time': 4.15625}

{'out_of_rail_time': 0.3526516982375719, 'out_of_rail_velocity': 33.664504451909025, 'max_velocity': 303.7801599214819, 'apogee_time': 23.360454638714604, 'apogee_altitude': 3010.3073205553524, 'apogee_x': 301.3212101623772, 'apogee_y': -558.1621101222344, 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': 1.542286481511929, 'out_of_rail_static_margin': 1.5837934074200943, 'out_of_rail_stability_margin': 1.5869567541142295, 'execution_time': 4.171875}
Completed 1 iterations successfully. Total CPU time: 0.015625 s. Total wall time: 7.7304465770721436 s
